dataset,priority_group,policy,records,pgv_unstable_records,pgv_unstable_pct,median_pgv_retention,p05_pgv_retention,p01_pgv_retention,median_window_duration_sec,direct_velocity_records,integrated_acceleration_records,integrated_knet_acceleration_records,unknown_units_direct_records
InstanceGM,low_magnitude_background,adaptive_energy_end,9000,89,0.9888888888888888,1.0,1.0,0.9525552796446093,102.67500000000001,6422,2578,0,0
InstanceGM,low_magnitude_background,catalog_p_fixed,9000,1209,13.433333333333334,1.0,0.7205910804610237,0.3810675342249485,42.0,6422,2578,0,0
InstanceGM,low_magnitude_background,energy_onset_fixed,9000,1390,15.444444444444445,1.0,0.6799964831291518,0.35477091918310477,42.0,6422,2578,0,0
InstanceGM,low_magnitude_background,feature_onset_fixed,9000,1538,17.08888888888889,1.0,0.6247306044209026,0.27411278600908134,42.0,6422,2578,0,0
InstanceGM,low_magnitude_background,shortest_stable_no_catalog,9000,89,0.9888888888888888,1.0,1.0,0.9525552796446093,103.64,6422,2578,0,0
InstanceGM,m3_to_m4_small_event,adaptive_energy_end,9000,65,0.7222222222222222,1.0,1.0,1.0,70.57499999999999,6605,2395,0,0
InstanceGM,m3_to_m4_small_event,catalog_p_fixed,9000,931,10.344444444444445,1.0,0.7589182962947918,0.4315482385716051,42.0,6605,2395,0,0
InstanceGM,m3_to_m4_small_event,energy_onset_fixed,9000,1375,15.277777777777779,1.0,0.6526672675434871,0.4029689258987087,42.0,6605,2395,0,0
InstanceGM,m3_to_m4_small_event,feature_onset_fixed,9000,2245,24.944444444444443,1.0,0.46316928658249296,0.25040652105266464,42.0,6605,2395,0,0
InstanceGM,m3_to_m4_small_event,shortest_stable_no_catalog,9000,64,0.7111111111111111,1.0,1.0,1.0,71.14,6605,2395,0,0
InstanceGM,m4plus_strong_motion,adaptive_energy_end,13344,21,0.15737410071942445,1.0,1.0,1.0,80.425,9803,3541,0,0
InstanceGM,m4plus_strong_motion,catalog_p_fixed,13344,3116,23.351318944844124,1.0,0.4136689944816719,0.16054457954960522,42.0,9803,3541,0,0
InstanceGM,m4plus_strong_motion,energy_onset_fixed,13344,2565,19.222122302158272,1.0,0.4832515097533583,0.2553073357478033,42.0,9803,3541,0,0
InstanceGM,m4plus_strong_motion,feature_onset_fixed,13344,4944,37.05035971223021,1.0,0.27862528962671324,0.13870953116222332,42.0,9803,3541,0,0
InstanceGM,m4plus_strong_motion,shortest_stable_no_catalog,13344,21,0.15737410071942445,1.0,1.0,1.0,80.15,9803,3541,0,0
K-NET,low_magnitude_background,adaptive_energy_end,21,0,0.0,1.0,1.0,1.0,11.9,0,0,21,0
K-NET,low_magnitude_background,catalog_p_fixed,21,0,0.0,1.0,1.0,1.0,42.0,0,0,21,0
K-NET,low_magnitude_background,energy_onset_fixed,21,0,0.0,1.0,1.0,1.0,42.0,0,0,21,0
K-NET,low_magnitude_background,feature_onset_fixed,21,0,0.0,1.0,1.0,1.0,42.0,0,0,21,0
K-NET,low_magnitude_background,shortest_stable_no_catalog,21,0,0.0,1.0,1.0,1.0,11.9,0,0,21,0
K-NET,m3_to_m4_small_event,adaptive_energy_end,5647,0,0.0,1.0,1.0,1.0,19.39,0,0,5647,0
K-NET,m3_to_m4_small_event,catalog_p_fixed,5647,1,0.017708517797060386,1.0,1.0,1.0,42.0,0,0,5647,0
K-NET,m3_to_m4_small_event,energy_onset_fixed,5647,3,0.053125553391181156,1.0,1.0,1.0,42.0,0,0,5647,0
K-NET,m3_to_m4_small_event,feature_onset_fixed,5647,3,0.053125553391181156,1.0,1.0,1.0,42.0,0,0,5647,0
K-NET,m3_to_m4_small_event,shortest_stable_no_catalog,5647,0,0.0,1.0,1.0,1.0,19.39,0,0,5647,0
K-NET,m4plus_strong_motion,adaptive_energy_end,15473,2,0.012925741614425128,1.0,1.0,1.0,26.38,0,0,15473,0
K-NET,m4plus_strong_motion,catalog_p_fixed,15473,28,0.1809603826019518,1.0,1.0,1.0,42.0,0,0,15473,0
K-NET,m4plus_strong_motion,energy_onset_fixed,15473,3,0.019388612421637693,1.0,1.0,1.0,42.0,0,0,15473,0
K-NET,m4plus_strong_motion,feature_onset_fixed,15473,28,0.1809603826019518,1.0,1.0,1.0,42.0,0,0,15473,0
