dataset,priority_group,policy,records,unstable_records,unstable_pct,median_window_duration_sec,p25_window_duration_sec,p75_window_duration_sec,p05_energy_retention,median_energy_retention,p05_pga_retention,full_record_fallback_records,full_record_fallback_pct
InstanceGM,low_magnitude_background,adaptive_energy_end,9000,230,2.555555555555556,102.67500000000001,62.1875,110.21,0.9519502334390861,0.9658288069397845,1.0,0,0.0
InstanceGM,low_magnitude_background,catalog_p_fixed,9000,7078,78.64444444444445,42.0,42.0,42.0,0.3121735502509923,0.6868062583811074,0.8037356867622365,0,0.0
InstanceGM,low_magnitude_background,energy_first_then_adaptive,9000,0,0.0,103.64,63.77,110.5925,0.9529566311006544,0.9690878600044612,1.0,200,2.2222222222222223
InstanceGM,low_magnitude_background,energy_onset_fixed,9000,7004,77.82222222222222,42.0,42.0,42.0,0.2884040402020623,0.6629090311469732,0.731616659413792,0,0.0
InstanceGM,low_magnitude_background,feature_onset_fixed,9000,7387,82.07777777777778,42.0,42.0,42.0,0.25895587756060356,0.622152730644574,0.6399691605445,0,0.0
InstanceGM,low_magnitude_background,full_record,9000,0,0.0,120.0,120.0,120.0,1.0,1.0,1.0,0,0.0
InstanceGM,low_magnitude_background,shortest_stable_all,9000,0,0.0,103.64,63.4375,110.5925,0.9527705714386391,0.9672106928636894,1.0,200,2.2222222222222223
InstanceGM,low_magnitude_background,shortest_stable_no_catalog,9000,0,0.0,103.64,63.77,110.5925,0.9528469434410525,0.967226572854979,1.0,200,2.2222222222222223
InstanceGM,m3_to_m4_small_event,adaptive_energy_end,9000,173,1.9222222222222225,70.57499999999999,46.595,100.5425,0.9530944509923835,0.9626346913935471,1.0,0,0.0
InstanceGM,m3_to_m4_small_event,catalog_p_fixed,9000,5735,63.72222222222222,42.0,42.0,42.0,0.3209550418009437,0.8886291556764575,0.8115424114891722,0,0.0
InstanceGM,m3_to_m4_small_event,energy_first_then_adaptive,9000,0,0.0,71.14,42.0,102.09,0.953765471846605,0.9666597345446455,1.0,161,1.7888888888888888
InstanceGM,m3_to_m4_small_event,energy_onset_fixed,9000,5491,61.01111111111111,42.0,42.0,42.0,0.2682928695000142,0.9013618388196042,0.6694434655492233,0,0.0
InstanceGM,m3_to_m4_small_event,feature_onset_fixed,9000,6947,77.18888888888888,42.0,42.0,42.0,0.1550090756450651,0.703710613760675,0.47190923997282763,0,0.0
InstanceGM,m3_to_m4_small_event,full_record,9000,0,0.0,120.0,120.0,120.0,1.0,1.0,1.0,0,0.0
InstanceGM,m3_to_m4_small_event,shortest_stable_all,9000,0,0.0,71.09,42.0,102.09,0.9532336076944911,0.9642495338303962,1.0,160,1.7777777777777777
InstanceGM,m3_to_m4_small_event,shortest_stable_no_catalog,9000,0,0.0,71.14,42.0,102.09,0.9535906345623582,0.9647396482989901,1.0,161,1.7888888888888888
InstanceGM,m4plus_strong_motion,adaptive_energy_end,13344,52,0.38968824940047964,80.425,54.59,101.32,0.9553502279501189,0.962979537118055,1.0,0,0.0
InstanceGM,m4plus_strong_motion,catalog_p_fixed,13344,10076,75.50959232613909,42.0,42.0,42.0,0.11551719193274909,0.7675838570611766,0.4256120782612331,0,0.0
InstanceGM,m4plus_strong_motion,energy_first_then_adaptive,13344,0,0.0,80.15,42.01,101.365,0.9550375234637191,0.96502327813405,1.0,51,0.38219424460431656
InstanceGM,m4plus_strong_motion,energy_onset_fixed,13344,9418,70.57853717026379,42.0,42.0,42.0,0.17343160418409248,0.830125105824206,0.5030511950801653,0,0.0
InstanceGM,m4plus_strong_motion,feature_onset_fixed,13344,11134,83.43824940047962,42.0,42.0,42.0,0.049809609661330405,0.5459904901961372,0.2871995171289926,0,0.0
InstanceGM,m4plus_strong_motion,full_record,13344,0,0.0,120.0,120.0,120.0,1.0,1.0,1.0,0,0.0
InstanceGM,m4plus_strong_motion,shortest_stable_all,13344,0,0.0,80.15,42.0,101.365,0.9546097269810424,0.9635802801982964,1.0,51,0.38219424460431656
InstanceGM,m4plus_strong_motion,shortest_stable_no_catalog,13344,0,0.0,80.15,42.0,101.365,0.9549478415208223,0.9639952387666106,1.0,51,0.38219424460431656
K-NET,low_magnitude_background,adaptive_energy_end,21,0,0.0,11.9,10.88,16.28,0.9652028022596234,0.9735678999677612,1.0,0,0.0
K-NET,low_magnitude_background,catalog_p_fixed,21,0,0.0,42.0,42.0,42.0,0.9953339652835808,0.9992327487253858,1.0,0,0.0
K-NET,low_magnitude_background,energy_first_then_adaptive,21,0,0.0,42.0,42.0,42.0,0.9953403764575058,0.9992494210160744,1.0,0,0.0
K-NET,low_magnitude_background,energy_onset_fixed,21,0,0.0,42.0,42.0,42.0,0.9953403764575058,0.9992494210160744,1.0,0,0.0
K-NET,low_magnitude_background,feature_onset_fixed,21,0,0.0,42.0,42.0,42.0,0.9955566381140448,0.9992409632361332,1.0,0,0.0
K-NET,low_magnitude_background,full_record,21,0,0.0,60.0,60.0,60.0,1.0,1.0,1.0,0,0.0
K-NET,low_magnitude_background,shortest_stable_all,21,0,0.0,11.9,10.88,16.28,0.9652028022596234,0.9735678999677612,1.0,0,0.0
K-NET,low_magnitude_background,shortest_stable_no_catalog,21,0,0.0,11.9,10.88,16.28,0.9652028022596234,0.9735678999677612,1.0,0,0.0
K-NET,m3_to_m4_small_event,adaptive_energy_end,5647,21,0.3718788737382681,19.39,15.58,23.84,0.9614228837070339,0.972266060722344,1.0,0,0.0
K-NET,m3_to_m4_small_event,catalog_p_fixed,5647,94,1.6646006729236762,42.0,42.0,42.0,0.9789370461109215,0.9976549009937652,1.0,0,0.0
K-NET,m3_to_m4_small_event,energy_first_then_adaptive,5647,0,0.0,42.0,42.0,42.0,0.9815051498247244,0.9976711465750844,1.0,17,0.3010448025500266
K-NET,m3_to_m4_small_event,energy_onset_fixed,5647,91,1.611475119532495,42.0,42.0,42.0,0.9792527075733796,0.9976432997261692,1.0,0,0.0
K-NET,m3_to_m4_small_event,feature_onset_fixed,5647,92,1.6291836373295554,42.0,42.0,42.0,0.9791739587674788,0.9976614538646292,1.0,0,0.0
K-NET,m3_to_m4_small_event,full_record,5647,0,0.0,119.0,60.0,119.0,1.0,1.0,1.0,0,0.0
K-NET,m3_to_m4_small_event,shortest_stable_all,5647,0,0.0,19.39,15.58,23.84,0.9617846663195181,0.9722979301947222,1.0,17,0.3010448025500266
K-NET,m3_to_m4_small_event,shortest_stable_no_catalog,5647,0,0.0,19.39,15.58,23.84,0.9618003460085638,0.9722979301947222,1.0,17,0.3010448025500266
K-NET,m4plus_strong_motion,adaptive_energy_end,15473,22,0.1421831577586764,26.38,21.4,32.29,0.9598152319613783,0.9675674470142378,1.0,0,0.0
K-NET,m4plus_strong_motion,catalog_p_fixed,15473,753,4.86654171783106,42.0,42.0,42.0,0.9508718130312198,0.9940194113570394,1.0,0,0.0
K-NET,m4plus_strong_motion,energy_first_then_adaptive,15473,0,0.0,42.0,42.0,42.0,0.9643895480020156,0.9943199528778992,1.0,16,0.10340593291540102
K-NET,m4plus_strong_motion,energy_onset_fixed,15473,557,3.5998190396173984,42.0,42.0,42.0,0.9591727446117355,0.994293393940474,1.0,0,0.0
K-NET,m4plus_strong_motion,feature_onset_fixed,15473,781,5.047502100433012,42.0,42.0,42.0,0.9498492650352192,0.9939706067686088,1.0,0,0.0
K-NET,m4plus_strong_motion,full_record,15473,0,0.0,119.0,119.0,119.0,1.0,1.0,1.0,0,0.0
K-NET,m4plus_strong_motion,shortest_stable_all,15473,0,0.0,26.38,21.4,32.29,0.9589496266991276,0.967580707954008,1.0,16,0.10340593291540102
K-NET,m4plus_strong_motion,shortest_stable_no_catalog,15473,0,0.0,26.38,21.4,32.29,0.9594107430588859,0.967637127220813,1.0,16,0.10340593291540102
K-NET,other,adaptive_energy_end,978,7,0.7157464212678937,28.375,24.895,32.21,0.9569124984760385,0.9663611128900396,1.0,0,0.0
K-NET,other,catalog_p_fixed,978,978,100.0,,,,,,,0,0.0
K-NET,other,energy_first_then_adaptive,978,0,0.0,42.0,41.65,42.0,0.963412466893479,0.9905771088908124,1.0,6,0.6134969325153374
K-NET,other,energy_onset_fixed,978,38,3.885480572597137,42.0,41.62,42.0,0.9582657668671538,0.9904617027865602,1.0,0,0.0
K-NET,other,feature_onset_fixed,978,44,4.4989775051124745,42.0,41.62,42.0,0.9570134342214527,0.9902660971779459,1.0,0,0.0
K-NET,other,full_record,978,0,0.0,119.0,71.0,119.0,1.0,1.0,1.0,0,0.0
K-NET,other,shortest_stable_all,978,0,0.0,28.384999999999998,24.895,32.24,0.9569124984760385,0.9664354828589996,1.0,6,0.6134969325153374
K-NET,other,shortest_stable_no_catalog,978,0,0.0,28.384999999999998,24.895,32.24,0.9569124984760385,0.9664354828589996,1.0,6,0.6134969325153374
InstanceGM,ALL,adaptive_energy_end,31344,455,1.45163348647269,84.12,52.13,105.93,0.9534747593095988,0.963435361371392,1.0,0,0.0
InstanceGM,ALL,catalog_p_fixed,31344,22889,73.02514037774375,42.0,42.0,42.0,0.1898808881141444,0.790867312527251,0.5647526668941306,0,0.0
InstanceGM,ALL,energy_first_then_adaptive,31344,0,0.0,84.945,42.01,106.5,0.9539071926996814,0.9667142101719362,1.0,412,1.3144461459928534
InstanceGM,ALL,energy_onset_fixed,31344,21913,69.91130678917816,42.0,42.0,42.0,0.2282687753590909,0.8135259426144723,0.594703118983267,0,0.0
InstanceGM,ALL,feature_onset_fixed,31344,25468,81.25319040326697,42.0,42.0,42.0,0.08032107425865777,0.6173812155138303,0.3626823404961729,0,0.0
InstanceGM,ALL,full_record,31344,0,0.0,120.0,120.0,120.0,1.0,1.0,1.0,0,0.0
InstanceGM,ALL,shortest_stable_all,31344,0,0.0,84.94,42.0,106.5,0.9535271646930391,0.9646794579428527,1.0,411,1.3112557427258804
InstanceGM,ALL,shortest_stable_no_catalog,31344,0,0.0,84.945,42.0,106.5,0.9537659825131906,0.9650097125289943,1.0,412,1.3144461459928534
K-NET,ALL,adaptive_energy_end,22119,50,0.22605000226050004,24.66,19.44,30.39,0.9598667299122402,0.9684476643245236,1.0,0,0.0
K-NET,ALL,catalog_p_fixed,22119,1825,8.25082508250825,42.0,42.0,42.0,0.9577430244961108,0.99538302086977,1.0,0,0.0
K-NET,ALL,energy_first_then_adaptive,22119,0,0.0,42.0,42.0,42.0,0.9670509689538609,0.9953041408566972,1.0,39,0.17631900176319001
K-NET,ALL,energy_onset_fixed,22119,686,3.1014060310140605,42.0,42.0,42.0,0.9633980044471019,0.9952595062786126,1.0,0,0.0
K-NET,ALL,feature_onset_fixed,22119,917,4.14575704145757,42.0,42.0,42.0,0.9568200830394437,0.9951321600204424,1.0,0,0.0
K-NET,ALL,full_record,22119,0,0.0,119.0,119.0,119.0,1.0,1.0,1.0,0,0.0
K-NET,ALL,shortest_stable_all,22119,0,0.0,24.66,19.44,30.39,0.9592475330052429,0.9684874859885172,1.0,39,0.17631900176319001
K-NET,ALL,shortest_stable_no_catalog,22119,0,0.0,24.66,19.44,30.39,0.9596132190115924,0.9685326629042508,1.0,39,0.17631900176319001
ALL,ALL,adaptive_energy_end,53463,505,0.9445784935375867,43.83,25.65,92.57499999999999,0.9547033468474583,0.9663564552644216,1.0,0,0.0
ALL,ALL,catalog_p_fixed,53463,24714,46.22636215700578,42.0,42.0,42.0,0.2739051169523752,0.9692923117037646,0.7367788622733525,0,0.0
ALL,ALL,energy_first_then_adaptive,53463,0,0.0,42.0,42.0,93.78,0.9549924790916618,0.9836873110941744,1.0,451,0.8435740605652507
ALL,ALL,energy_onset_fixed,53463,22599,42.27035519892262,42.0,42.0,42.0,0.29142503685208465,0.9760206847155808,0.7518209800918972,0,0.0
ALL,ALL,feature_onset_fixed,53463,26385,49.351888221760845,42.0,42.0,42.0,0.1275555243208274,0.9542444770149818,0.4691243621511458,0,0.0
ALL,ALL,full_record,53463,0,0.0,120.0,119.0,120.0,1.0,1.0,1.0,0,0.0
ALL,ALL,shortest_stable_all,53463,0,0.0,42.0,25.65,93.78,0.9545419916194248,0.9671058347309603,1.0,450,0.8417036081028001
ALL,ALL,shortest_stable_no_catalog,53463,0,0.0,42.0,25.65,93.78,0.954766413561169,0.9672532104468544,1.0,451,0.8435740605652507
