dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
InstanceGM,low_magnitude_background,adaptive_energy_end,0.2,9000,5,0.05555555555555555,1.0,0.999999999999995,0.999999966927976,102.67500000000001
InstanceGM,low_magnitude_background,adaptive_energy_end,1.0,9000,150,1.6666666666666667,1.0,0.9995320662860778,0.8862191415347511,102.67500000000001
InstanceGM,low_magnitude_background,adaptive_energy_end,3.0,9000,937,10.411111111111111,0.9999995717926538,0.8320294892118514,0.6342591947849906,102.67500000000001
InstanceGM,low_magnitude_background,catalog_p_fixed,0.2,9000,478,5.311111111111111,1.0,0.9372037980059877,0.5209860633414727,42.0
InstanceGM,low_magnitude_background,catalog_p_fixed,1.0,9000,1783,19.81111111111111,0.9999317066118734,0.7252503884907426,0.4083146120752089,42.0
InstanceGM,low_magnitude_background,catalog_p_fixed,3.0,9000,4274,47.488888888888894,0.9595574789617571,0.6195119257011643,0.39549550661257626,42.0
InstanceGM,low_magnitude_background,energy_onset_fixed,0.2,9000,743,8.255555555555555,1.0,0.7978302630207006,0.3712909067878924,42.0
InstanceGM,low_magnitude_background,energy_onset_fixed,1.0,9000,2205,24.5,0.9999772712056011,0.6842330892197233,0.42096460893539184,42.0
InstanceGM,low_magnitude_background,energy_onset_fixed,3.0,9000,4265,47.38888888888889,0.9616318943119593,0.6083015828899323,0.4314389011238166,42.0
InstanceGM,low_magnitude_background,feature_onset_fixed,0.2,9000,911,10.122222222222224,1.0,0.6875476354160958,0.17621396654379953,42.0
InstanceGM,low_magnitude_background,feature_onset_fixed,1.0,9000,2483,27.588888888888892,0.9999983507754475,0.6279190361888246,0.3217179834610644,42.0
InstanceGM,low_magnitude_background,feature_onset_fixed,3.0,9000,4380,48.66666666666667,0.9574029855572241,0.5776361308451168,0.35452533099474737,42.0
InstanceGM,low_magnitude_background,shortest_stable_no_catalog,0.2,9000,5,0.05555555555555555,1.0,0.9999999999998664,0.9999998517729297,103.64
InstanceGM,low_magnitude_background,shortest_stable_no_catalog,1.0,9000,148,1.6444444444444446,1.0,0.9992086029075474,0.8907327155023028,103.64
InstanceGM,low_magnitude_background,shortest_stable_no_catalog,3.0,9000,921,10.233333333333333,0.9999998479093231,0.8402690462188134,0.6402771098781785,103.64
InstanceGM,m3_to_m4_small_event,adaptive_energy_end,0.2,9000,1,0.011111111111111112,1.0,0.9999999999999966,0.9999999949882351,70.57499999999999
