dataset,priority_group,pga_threshold,energy_threshold,records,selected_stable_pct,full_record_fallback_records,full_record_fallback_pct,median_window_duration_sec,p75_window_duration_sec,p95_window_duration_sec
InstanceGM,low_magnitude_background,0.99,0.9,9000,100.0,2,0.022222222222222223,102.63,110.21,114.88099999999999
InstanceGM,low_magnitude_background,0.99,0.95,9000,100.0,200,2.2222222222222223,103.64,110.5925,116.13
InstanceGM,low_magnitude_background,0.99,0.98,9000,100.0,6516,72.39999999999999,120.0,120.0,120.0
InstanceGM,low_magnitude_background,0.995,0.9,9000,100.0,2,0.022222222222222223,102.63,110.21,114.88099999999999
InstanceGM,low_magnitude_background,0.995,0.95,9000,100.0,200,2.2222222222222223,103.64,110.5925,116.13
InstanceGM,low_magnitude_background,0.995,0.98,9000,100.0,6516,72.39999999999999,120.0,120.0,120.0
InstanceGM,m3_to_m4_small_event,0.99,0.9,9000,100.0,5,0.05555555555555555,42.01,100.49249999999999,111.93
InstanceGM,m3_to_m4_small_event,0.99,0.95,9000,100.0,161,1.7888888888888888,71.14,102.09,112.81099999999999
InstanceGM,m3_to_m4_small_event,0.99,0.98,9000,100.0,6260,69.55555555555556,120.0,120.0,120.0
InstanceGM,m3_to_m4_small_event,0.995,0.9,9000,100.0,5,0.05555555555555555,42.01,100.49249999999999,111.93
InstanceGM,m3_to_m4_small_event,0.995,0.95,9000,100.0,161,1.7888888888888888,71.14,102.09,112.81099999999999
InstanceGM,m3_to_m4_small_event,0.995,0.98,9000,100.0,6260,69.55555555555556,120.0,120.0,120.0
InstanceGM,m4plus_strong_motion,0.99,0.9,13344,100.0,2,0.014988009592326138,79.625,101.01,112.91
InstanceGM,m4plus_strong_motion,0.99,0.95,13344,100.0,51,0.38219424460431656,80.15,101.365,113.12849999999999
InstanceGM,m4plus_strong_motion,0.99,0.98,13344,100.0,9743,73.01408872901679,120.0,120.0,120.0
InstanceGM,m4plus_strong_motion,0.995,0.9,13344,100.0,2,0.014988009592326138,79.625,101.01,112.91
InstanceGM,m4plus_strong_motion,0.995,0.95,13344,100.0,51,0.38219424460431656,80.15,101.365,113.12849999999999
InstanceGM,m4plus_strong_motion,0.995,0.98,13344,100.0,9743,73.01408872901679,120.0,120.0,120.0
K-NET,low_magnitude_background,0.99,0.9,21,100.0,0,0.0,11.9,16.28,24.96
K-NET,low_magnitude_background,0.99,0.95,21,100.0,0,0.0,11.9,16.28,24.96
K-NET,low_magnitude_background,0.99,0.98,21,100.0,0,0.0,42.0,42.0,42.0
K-NET,low_magnitude_background,0.995,0.9,21,100.0,0,0.0,11.9,16.28,24.96
K-NET,low_magnitude_background,0.995,0.95,21,100.0,0,0.0,11.9,16.28,24.96
K-NET,low_magnitude_background,0.995,0.98,21,100.0,0,0.0,42.0,42.0,42.0
K-NET,m3_to_m4_small_event,0.99,0.9,5647,100.0,0,0.0,19.39,23.84,30.83
K-NET,m3_to_m4_small_event,0.99,0.95,5647,100.0,17,0.3010448025500266,19.39,23.84,30.836999999999996
K-NET,m3_to_m4_small_event,0.99,0.98,5647,100.0,264,4.675048698423942,42.0,42.0,60.0
K-NET,m3_to_m4_small_event,0.995,0.9,5647,100.0,0,0.0,19.39,23.84,30.83
K-NET,m3_to_m4_small_event,0.995,0.95,5647,100.0,17,0.3010448025500266,19.39,23.84,30.836999999999996
K-NET,m3_to_m4_small_event,0.995,0.98,5647,100.0,264,4.675048698423942,42.0,42.0,60.0
K-NET,m4plus_strong_motion,0.99,0.9,15473,100.0,1,0.006462870807212564,26.38,32.29,42.0
K-NET,m4plus_strong_motion,0.99,0.95,15473,100.0,16,0.10340593291540102,26.38,32.29,42.0
K-NET,m4plus_strong_motion,0.99,0.98,15473,100.0,2085,13.475085633038194,42.0,42.0,119.0
K-NET,m4plus_strong_motion,0.995,0.9,15473,100.0,1,0.006462870807212564,26.38,32.29,42.0
K-NET,m4plus_strong_motion,0.995,0.95,15473,100.0,16,0.10340593291540102,26.38,32.29,42.0
K-NET,m4plus_strong_motion,0.995,0.98,15473,100.0,2085,13.475085633038194,42.0,42.0,119.0
K-NET,other,0.99,0.9,978,100.0,0,0.0,28.375,32.21,41.733
K-NET,other,0.99,0.95,978,100.0,6,0.6134969325153374,28.384999999999998,32.24,42.0
K-NET,other,0.99,0.98,978,100.0,176,17.995910020449898,42.0,42.01,119.0
K-NET,other,0.995,0.9,978,100.0,0,0.0,28.375,32.21,41.733
K-NET,other,0.995,0.95,978,100.0,6,0.6134969325153374,28.384999999999998,32.24,42.0
K-NET,other,0.995,0.98,978,100.0,176,17.995910020449898,42.0,42.01,119.0
InstanceGM,ALL,0.99,0.9,31344,100.0,9,0.02871362940275651,83.61,105.84,113.49
InstanceGM,ALL,0.99,0.95,31344,100.0,412,1.3144461459928534,84.945,106.5,114.22
InstanceGM,ALL,0.99,0.98,31344,100.0,22519,71.84469116896376,120.0,120.0,120.0
InstanceGM,ALL,0.995,0.9,31344,100.0,9,0.02871362940275651,83.61,105.84,113.49
InstanceGM,ALL,0.995,0.95,31344,100.0,412,1.3144461459928534,84.945,106.5,114.22
InstanceGM,ALL,0.995,0.98,31344,100.0,22519,71.84469116896376,120.0,120.0,120.0
K-NET,ALL,0.99,0.9,22119,100.0,1,0.0045210000452100005,24.66,30.39,42.0
K-NET,ALL,0.99,0.95,22119,100.0,39,0.17631900176319001,24.66,30.39,42.0
K-NET,ALL,0.99,0.98,22119,100.0,2525,11.415525114155251,42.0,42.0,119.0
K-NET,ALL,0.995,0.9,22119,100.0,1,0.0045210000452100005,24.66,30.39,42.0
K-NET,ALL,0.995,0.95,22119,100.0,39,0.17631900176319001,24.66,30.39,42.0
K-NET,ALL,0.995,0.98,22119,100.0,2525,11.415525114155251,42.0,42.0,119.0
ALL,ALL,0.99,0.9,53463,100.0,10,0.01870452462450667,42.0,92.255,111.98
ALL,ALL,0.99,0.95,53463,100.0,451,0.8435740605652507,42.0,93.78,112.5
ALL,ALL,0.99,0.98,53463,100.0,25044,46.8436114696145,111.28,120.0,120.0
ALL,ALL,0.995,0.9,53463,100.0,10,0.01870452462450667,42.0,92.255,111.98
ALL,ALL,0.995,0.95,53463,100.0,451,0.8435740605652507,42.0,93.78,112.5
ALL,ALL,0.995,0.98,53463,100.0,25044,46.8436114696145,111.28,120.0,120.0
