dataset,priority_group,policy,records,unstable_records,unstable_pct,median_window_duration_sec,p25_window_duration_sec,p75_window_duration_sec,p05_energy_retention,median_energy_retention,p05_pga_retention,full_record_fallback_records,full_record_fallback_pct
PNWAccelerometers,low_magnitude_background,adaptive_energy_end,5563,555,9.976631314039187,141.36,128.55,145.87,0.9470847872667035,0.9641963103491497,1.0,0,0.0
PNWAccelerometers,low_magnitude_background,catalog_p_fixed,5563,5223,93.88818982563365,42.0,42.0,42.0,0.20679228468009273,0.3995795875741463,0.8348200856699736,0,0.0
PNWAccelerometers,low_magnitude_background,energy_first_then_adaptive,5563,0,0.0,143.38,135.74,147.14,0.9529923046389228,0.9681588146721803,1.0,538,9.67104080532087
PNWAccelerometers,low_magnitude_background,energy_onset_fixed,5563,5277,94.85888908862124,42.0,41.26,42.0,0.049389104312812473,0.2228411244399939,0.05188661405002957,0,0.0
PNWAccelerometers,low_magnitude_background,feature_onset_fixed,5563,5279,94.89484091317635,42.0,41.26,42.0,0.048816977899207,0.2224056749518539,0.05187248293853765,0,0.0
PNWAccelerometers,low_magnitude_background,full_record,5563,0,0.0,150.01,150.01,150.01,1.0,1.0,1.0,0,0.0
PNWAccelerometers,low_magnitude_background,shortest_stable_all,5563,0,0.0,143.28,135.62,147.11,0.9528720339781604,0.9673667917175516,1.0,521,9.365450296602553
PNWAccelerometers,low_magnitude_background,shortest_stable_no_catalog,5563,0,0.0,143.38,135.74,147.14,0.9528730868159866,0.967439812639524,1.0,538,9.67104080532087
PNWAccelerometers,m3_to_m4_small_event,adaptive_energy_end,468,107,22.863247863247864,76.42,26.7025,117.2825,0.9455624718839484,0.9565468769881622,1.0,0,0.0
PNWAccelerometers,m3_to_m4_small_event,catalog_p_fixed,468,262,55.98290598290598,42.0,42.0,42.0,0.39771938671338697,0.9317266516805399,1.0,0,0.0
PNWAccelerometers,m3_to_m4_small_event,energy_first_then_adaptive,468,0,0.0,99.025,42.0,143.925,0.9511730601675945,0.981514049752792,1.0,101,21.581196581196583
PNWAccelerometers,m3_to_m4_small_event,energy_onset_fixed,468,299,63.888888888888886,42.0,42.0,42.0,0.02309288549339591,0.2578798703071463,0.042072732195517305,0,0.0
PNWAccelerometers,m3_to_m4_small_event,feature_onset_fixed,468,302,64.52991452991454,42.0,42.0,42.0,0.02309288549339591,0.2578798703071463,0.042072732195517305,0,0.0
PNWAccelerometers,m3_to_m4_small_event,full_record,468,0,0.0,150.01,150.01,150.01,1.0,1.0,1.0,0,0.0
PNWAccelerometers,m3_to_m4_small_event,shortest_stable_all,468,0,0.0,94.32499999999999,26.7025,143.6825,0.9510398290392346,0.965820920231838,1.0,98,20.94017094017094
PNWAccelerometers,m3_to_m4_small_event,shortest_stable_no_catalog,468,0,0.0,99.025,26.7025,143.925,0.951000391015672,0.9648139977207979,1.0,101,21.581196581196583
PNWAccelerometers,m4plus_strong_motion,adaptive_energy_end,76,8,10.526315789473683,43.035,30.91,53.5425,0.9472477453766802,0.9575824835318381,1.0,0,0.0
PNWAccelerometers,m4plus_strong_motion,catalog_p_fixed,76,32,42.10526315789473,42.0,42.0,42.0,0.8335915673877572,0.9563370074965578,1.0,0,0.0
PNWAccelerometers,m4plus_strong_motion,energy_first_then_adaptive,76,0,0.0,42.01,42.0,53.5425,0.9506721105259952,0.9661168736709482,1.0,7,9.210526315789473
PNWAccelerometers,m4plus_strong_motion,energy_onset_fixed,76,35,46.05263157894737,42.0,42.0,42.0,0.026152887528312924,0.9563553964009868,0.09200877723900518,0,0.0
PNWAccelerometers,m4plus_strong_motion,feature_onset_fixed,76,37,48.68421052631579,42.0,42.0,42.0,0.018662509247296552,0.9525755079719544,0.09200877723900518,0,0.0
PNWAccelerometers,m4plus_strong_motion,full_record,76,0,0.0,150.01,150.01,150.01,1.0,1.0,1.0,0,0.0
PNWAccelerometers,m4plus_strong_motion,shortest_stable_all,76,0,0.0,42.0,30.91,51.2375,0.9506721105259952,0.9592313198591962,1.0,6,7.894736842105263
PNWAccelerometers,m4plus_strong_motion,shortest_stable_no_catalog,76,0,0.0,42.0,30.91,53.5425,0.9506721105259952,0.9591115685719753,1.0,7,9.210526315789473
PNWAccelerometers,ALL,adaptive_energy_end,6107,670,10.9710168658916,140.23,121.48,145.62,0.9467771825602758,0.963712000229456,1.0,0,0.0
PNWAccelerometers,ALL,catalog_p_fixed,6107,5517,90.33895529719993,42.0,42.0,42.0,0.21038673503253083,0.4309204275470217,0.8554040628573976,0,0.0
PNWAccelerometers,ALL,energy_first_then_adaptive,6107,0,0.0,142.93,133.405,147.1,0.952715086206073,0.9685289628661446,1.0,646,10.57802521696414
PNWAccelerometers,ALL,energy_onset_fixed,6107,5611,91.87817258883248,42.0,41.31,42.0,0.04530152624187527,0.2253230977950653,0.05087542772856473,0,0.0
PNWAccelerometers,ALL,feature_onset_fixed,6107,5618,91.992795153103,42.0,41.31,42.0,0.04434079967860957,0.2251377396471484,0.05082891193545108,0,0.0
PNWAccelerometers,ALL,full_record,6107,0,0.0,150.01,150.01,150.01,1.0,1.0,1.0,0,0.0
PNWAccelerometers,ALL,shortest_stable_all,6107,0,0.0,142.87,133.11,147.06,0.9525466702937614,0.96710152920834,1.0,625,10.234157524152613
PNWAccelerometers,ALL,shortest_stable_no_catalog,6107,0,0.0,142.93,133.405,147.1,0.9525305106815596,0.96710152920834,1.0,646,10.57802521696414
ALL,ALL,adaptive_energy_end,6107,670,10.9710168658916,140.23,121.48,145.62,0.9467771825602758,0.963712000229456,1.0,0,0.0
ALL,ALL,catalog_p_fixed,6107,5517,90.33895529719993,42.0,42.0,42.0,0.21038673503253083,0.4309204275470217,0.8554040628573976,0,0.0
ALL,ALL,energy_first_then_adaptive,6107,0,0.0,142.93,133.405,147.1,0.952715086206073,0.9685289628661446,1.0,646,10.57802521696414
ALL,ALL,energy_onset_fixed,6107,5611,91.87817258883248,42.0,41.31,42.0,0.04530152624187527,0.2253230977950653,0.05087542772856473,0,0.0
ALL,ALL,feature_onset_fixed,6107,5618,91.992795153103,42.0,41.31,42.0,0.04434079967860957,0.2251377396471484,0.05082891193545108,0,0.0
ALL,ALL,full_record,6107,0,0.0,150.01,150.01,150.01,1.0,1.0,1.0,0,0.0
ALL,ALL,shortest_stable_all,6107,0,0.0,142.87,133.11,147.06,0.9525466702937614,0.96710152920834,1.0,625,10.234157524152613
ALL,ALL,shortest_stable_no_catalog,6107,0,0.0,142.93,133.405,147.1,0.9525305106815596,0.96710152920834,1.0,646,10.57802521696414
