dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
PNWAccelerometers,low_magnitude_background,adaptive_energy_end,0.2,5563,1,0.017975912277548085,1.0,1.0,0.9999997648304519,141.36
PNWAccelerometers,low_magnitude_background,adaptive_energy_end,1.0,5563,297,5.338845946431781,1.0,0.9435370558812948,0.8315079622244034,141.36
PNWAccelerometers,low_magnitude_background,adaptive_energy_end,3.0,5563,655,11.774222541793996,1.0,0.8543245060760298,0.6223924583681189,141.36
PNWAccelerometers,low_magnitude_background,catalog_p_fixed,0.2,5563,474,8.520582419557792,0.9999999978386094,0.8253218487029482,0.5200303617281902,42.0
PNWAccelerometers,low_magnitude_background,catalog_p_fixed,1.0,5563,3710,66.6906345497034,0.848245049795749,0.498711788726319,0.35294776905240405,42.0
PNWAccelerometers,low_magnitude_background,catalog_p_fixed,3.0,5563,4426,79.56138774042782,0.7696839613373992,0.4435920732816462,0.3133884712471305,42.0
PNWAccelerometers,low_magnitude_background,energy_onset_fixed,0.2,5563,4771,85.76307747618192,0.2896169938883432,0.04597843245191035,0.023193406632644558,42.0
PNWAccelerometers,low_magnitude_background,energy_onset_fixed,1.0,5563,2556,45.946431781412905,0.9772860069472425,0.47454233784978656,0.2908712853333791,42.0
PNWAccelerometers,low_magnitude_background,energy_onset_fixed,3.0,5563,2346,42.17149020312781,0.9940821037440198,0.5128739789611757,0.362955943857481,42.0
PNWAccelerometers,low_magnitude_background,feature_onset_fixed,0.2,5563,4777,85.8709329498472,0.28931029585953744,0.045865404587780316,0.023045990385770085,42.0
PNWAccelerometers,low_magnitude_background,feature_onset_fixed,1.0,5563,2553,45.892504044580264,0.977576557384614,0.4719654716442623,0.29070495596530777,42.0
PNWAccelerometers,low_magnitude_background,feature_onset_fixed,3.0,5563,2339,42.04565881718497,0.9941970795864353,0.5124716720228418,0.3600002589728564,42.0
PNWAccelerometers,low_magnitude_background,shortest_stable_no_catalog,0.2,5563,1,0.017975912277548085,1.0,1.0,0.9999997576489678,143.38
PNWAccelerometers,low_magnitude_background,shortest_stable_no_catalog,1.0,5563,210,3.774941578285098,1.0,0.9669848010531977,0.869439748289965,143.38
PNWAccelerometers,low_magnitude_background,shortest_stable_no_catalog,3.0,5563,439,7.891425489843609,1.0,0.9049708267037341,0.6336974941519258,143.38
PNWAccelerometers,m3_to_m4_small_event,adaptive_energy_end,0.2,468,0,0.0,1.0,0.9999999907058835,0.9999998189185332,76.42
PNWAccelerometers,m3_to_m4_small_event,adaptive_energy_end,1.0,468,10,2.1367521367521367,1.0,0.9876949414028767,0.8936517057864644,76.42
PNWAccelerometers,m3_to_m4_small_event,adaptive_energy_end,3.0,468,166,35.47008547008547,0.9864390486760157,0.7039102535999767,0.568633292463495,76.42
PNWAccelerometers,m3_to_m4_small_event,catalog_p_fixed,0.2,468,1,0.2136752136752137,0.9999999999999996,0.9999997555711749,0.9996325069629736,42.0
PNWAccelerometers,m3_to_m4_small_event,catalog_p_fixed,1.0,468,63,13.461538461538462,0.999896180440982,0.6949684718334086,0.5133169371359725,42.0
PNWAccelerometers,m3_to_m4_small_event,catalog_p_fixed,3.0,468,291,62.17948717948718,0.8558989903009074,0.4655024168958786,0.38023056288053064,42.0
PNWAccelerometers,m3_to_m4_small_event,energy_onset_fixed,0.2,468,263,56.1965811965812,0.20099610554700986,0.017066430965572196,0.010987311252167951,42.0
PNWAccelerometers,m3_to_m4_small_event,energy_onset_fixed,1.0,468,222,47.43589743589743,0.9829045968783532,0.15754340814385398,0.09119803158015026,42.0
PNWAccelerometers,m3_to_m4_small_event,energy_onset_fixed,3.0,468,223,47.64957264957265,0.9574735917246264,0.5693208698827704,0.40151174739510637,42.0
PNWAccelerometers,m3_to_m4_small_event,feature_onset_fixed,0.2,468,264,56.41025641025641,0.20099610554700986,0.017066430965572196,0.010987311252167951,42.0
PNWAccelerometers,m3_to_m4_small_event,feature_onset_fixed,1.0,468,223,47.64957264957265,0.980531305437266,0.15754340814385398,0.09119803158015026,42.0
PNWAccelerometers,m3_to_m4_small_event,feature_onset_fixed,3.0,468,221,47.22222222222222,0.9568490115652801,0.5692324963259187,0.4025609443160625,42.0
PNWAccelerometers,m3_to_m4_small_event,shortest_stable_no_catalog,0.2,468,0,0.0,1.0,0.9999999872414901,0.9999998189185332,99.025
