dataset,policy,selected_candidate,records,pct
PNWAccelerometers,adaptive_energy_end,feature_onset_to_energy_end,6107,100.0
PNWAccelerometers,catalog_p_fixed,catalog_p_fixed,6107,100.0
PNWAccelerometers,energy_first_then_adaptive,feature_onset_to_energy_end,4965,81.30014737186835
PNWAccelerometers,energy_first_then_adaptive,full_record,646,10.57802521696414
PNWAccelerometers,energy_first_then_adaptive,energy_onset_fixed,496,8.121827411167512
PNWAccelerometers,energy_onset_fixed,energy_onset_fixed,6107,100.0
PNWAccelerometers,feature_onset_fixed,feature_onset_fixed,6107,100.0
PNWAccelerometers,full_record,full_record,6107,100.0
PNWAccelerometers,shortest_stable_all,feature_onset_to_energy_end,5339,87.42426723432128
PNWAccelerometers,shortest_stable_all,full_record,625,10.234157524152613
PNWAccelerometers,shortest_stable_all,catalog_p_fixed,140,2.292451285410185
PNWAccelerometers,shortest_stable_all,energy_onset_fixed,3,0.04912395611593254
PNWAccelerometers,shortest_stable_no_catalog,feature_onset_to_energy_end,5421,88.76698870149009
PNWAccelerometers,shortest_stable_no_catalog,full_record,646,10.57802521696414
PNWAccelerometers,shortest_stable_no_catalog,energy_onset_fixed,38,0.6222367774684788
PNWAccelerometers,shortest_stable_no_catalog,feature_onset_fixed,2,0.032749304077288356
