record_uid,dataset,source_row_index,split,priority_group,magnitude_bin,magnitude,event_id,station_network,station_code,trace_name,waveform_key,component_order,channel_type,units,sampling_rate_hz,n_samples,duration_sec,has_catalog_p,catalog_p_sample,catalog_fields_for_evaluation_only,waveform_qc_status,waveform_error,resolved_waveform_key,waveform_shape,waveform_preprocess,feature_n_samples,feature_sampling_rate_hz,feature_duration_sec,feature_finite_fraction,feature_zero_fraction,feature_max_abs,feature_rms,feature_mad_scale,feature_spike_score,feature_clip_fraction,feature_onset_sec,feature_energy_onset_sec,feature_threshold_onset_sec,feature_energy_end_sec,feature_significant_duration_sec,feature_flag_nonfinite,feature_flag_zero_heavy,feature_flag_clipped,feature_flag_spiky,feature_qc_issue_count,catalog_p_sec,catalog_s_sec,noise_rms,signal_rms,snr_db,snr_bin,selection_status,selected_duration_sec,full_record_assignment,feature_fixed_unstable,selected_3s_psa_failure,spectral_stage,final_duration_sec
PNWAccelerometers:1029,PNWAccelerometers,1029,,m3_to_m4_small_event,3-4,3.71,uw10813623,UW,ERW,"bucket1$1070,:3,:15001","bucket1$1070,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5939,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1029,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,4101.805309774807,233.92540386801232,10.718518949140748,382.683963077159,6.666222251849876e-05,59.4,59.52,59.4,69.41,9.889999999999992,False,False,False,True,1,59.39,66.66,17.935482130495306,547.0118614473553,29.685673762140333,>=10 dB,stable_candidate,15.01,False,False,True,arias_escalation,46.07
PNWAccelerometers:1030,PNWAccelerometers,1030,,m3_to_m4_small_event,3-4,3.71,uw10813623,UW,UWFH,"bucket1$1071,:3,:15001","bucket1$1071,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5768,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1030,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,7445.423490933917,396.16524410411296,16.37198429207213,454.766102758799,6.666222251849876e-05,20.27,57.74,20.27,68.33,10.589999999999996,False,False,False,True,1,57.68,63.42,24.710110359780618,953.134102688096,31.725586472657827,>=10 dB,stable_candidate,42.0,False,True,True,full_record_fallback,150.01
PNWAccelerometers:1122,PNWAccelerometers,1122,,m3_to_m4_small_event,3-4,3.02,uw10824603,UW,UWFH,"bucket1$1166,:3,:15001","bucket1$1166,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5912,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1122,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,1341.8852034219394,69.01753978991023,16.672895507064933,80.48303324718447,6.666222251849876e-05,4.82,4.82,59.2,121.28,116.46,False,False,False,True,1,59.12,66.17,32.99189671086645,145.56484911375068,12.892984612062898,>=10 dB,stable_candidate,150.01,False,True,False,primary,150.01
PNWAccelerometers:1123,PNWAccelerometers,1123,,m3_to_m4_small_event,3-4,3.02,uw10824603,UW,SWID,"bucket1$1167,:3,:15001","bucket1$1167,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,6106,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1123,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,455.5262588934515,29.60760462676579,7.836309683983851,58.13020123802323,6.666222251849876e-05,6.4,6.4,61.39,119.58,113.18,False,False,False,False,0,61.06,70.63,14.977103566515733,59.13779755138887,11.92874626538073,>=10 dB,stable_candidate,150.01,False,True,False,primary,150.01
PNWAccelerometers:1140,PNWAccelerometers,1140,,m3_to_m4_small_event,3-4,3.01,uw10823668,UW,SWID,"bucket1$1184,:3,:15001","bucket1$1184,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5833,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1140,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,833.1063612288591,61.95750033982531,9.184021229921866,90.7125909633755,6.666222251849876e-05,24.13,24.13,58.51,82.77,58.64,False,False,False,True,1,58.33,65.12,14.715113171220139,141.77310180070145,19.6766046940656,>=10 dB,stable_candidate,63.64,False,True,True,full_record_fallback,150.01
PNWAccelerometers:1141,PNWAccelerometers,1141,,m3_to_m4_small_event,3-4,3.01,uw10823668,UW,EVGW,"bucket1$1185,:3,:15001","bucket1$1185,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5838,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1141,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,719.998576550875,59.23178596181367,10.123851900791278,71.11903488973402,6.666222251849876e-05,15.32,15.32,58.4,87.39,72.07,False,False,False,False,0,58.38,65.42,17.488415261955502,133.00540482590125,17.62237664673809,>=10 dB,stable_candidate,92.0,False,True,True,arias_escalation,149.69
PNWAccelerometers:1161,PNWAccelerometers,1161,,m3_to_m4_small_event,3-4,3.26,uw10818028,UW,CDMR,"bucket1$1208,:3,:15001","bucket1$1208,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,7977,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1161,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,243.04202526869983,16.845087959499864,3.6697548662783865,66.22840874250993,6.666222251849876e-05,6.47,6.47,101.64,119.68,113.21,False,False,False,False,0,79.77,101.61,7.106533762542795,29.564781946150823,12.382337131028741,>=10 dB,stable_candidate,150.01,False,True,False,primary,150.01
PNWAccelerometers:1164,PNWAccelerometers,1164,,m3_to_m4_small_event,3-4,3.27,uw10813143,UW,LEOT,"bucket1$1211,:3,:15001","bucket1$1211,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5412,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1164,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,16863.223332429992,694.9750034430173,29.76789998329408,566.4901905036544,6.666222251849876e-05,54.2,54.77,54.2,62.28,7.509999999999998,False,False,False,True,1,54.12,57.84,51.25083482778489,1742.429630132607,30.62908607296299,>=10 dB,stable_candidate,13.08,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1165,PNWAccelerometers,1165,,m3_to_m4_small_event,3-4,3.27,uw10813143,UW,LYNC,"bucket1$1212,:3,:15001","bucket1$1212,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5555,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1165,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,818.5211899313709,44.143935633322606,5.028336771615541,162.78169643525894,6.666222251849876e-05,33.66,33.66,55.66,72.17,38.510000000000005,False,False,False,True,1,55.55,60.34,9.86815813045894,106.48401266306647,20.66096616511388,>=10 dB,stable_candidate,43.52,False,True,True,full_record_fallback,150.01
PNWAccelerometers:1166,PNWAccelerometers,1166,,m3_to_m4_small_event,3-4,3.27,uw10813143,UW,MBPA,"bucket1$1213,:3,:15001","bucket1$1213,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5331,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1166,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,12302.113096514457,590.6814507835817,89.58612874248516,137.3216285735129,6.666222251849876e-05,27.74,27.74,53.41,66.64,38.900000000000006,False,False,False,True,1,53.31,56.0,140.84454259752258,1479.6690137779337,20.42849110935113,>=10 dB,stable_candidate,62.0,False,True,True,full_record_fallback,150.01
