dataset,policy,selected_candidate,records,pct
InstanceGM,adaptive_energy_end,feature_onset_to_energy_end,23533,100.0
InstanceGM,arias_1_99_padded,arias_1_99_padded,23533,100.0
InstanceGM,catalog_p_fixed,catalog_p_fixed,23533,100.0
InstanceGM,energy_first_then_adaptive,feature_onset_to_energy_end,12434,52.836442442527506
InstanceGM,energy_first_then_adaptive,energy_onset_fixed,10729,45.59129732715761
InstanceGM,energy_first_then_adaptive,full_record,370,1.572260230314877
InstanceGM,energy_onset_fixed,energy_onset_fixed,23533,100.0
InstanceGM,feature_onset_fixed,feature_onset_fixed,23533,100.0
InstanceGM,full_record,full_record,23533,100.0
InstanceGM,shortest_stable_all,feature_onset_to_energy_end,17658,75.03505715378405
InstanceGM,shortest_stable_all,catalog_p_fixed,3332,14.158840776781542
InstanceGM,shortest_stable_all,feature_onset_fixed_90s,619,2.630348871797051
InstanceGM,shortest_stable_all,energy_onset_fixed,597,2.536863128372923
InstanceGM,shortest_stable_all,feature_onset_fixed_20s,565,2.4008838652105555
InstanceGM,shortest_stable_all,feature_onset_fixed_60s,384,1.6317511579484127
InstanceGM,shortest_stable_all,arias_1_99_padded,336,1.4277822632048611
InstanceGM,shortest_stable_all,full_record,29,0.12323120724089577
InstanceGM,shortest_stable_all,feature_onset_fixed,13,0.0552415756597119
InstanceGM,shortest_stable_no_catalog,feature_onset_to_energy_end,17708,75.24752475247524
InstanceGM,shortest_stable_no_catalog,energy_onset_fixed,3762,15.986062125525857
InstanceGM,shortest_stable_no_catalog,feature_onset_fixed_90s,619,2.630348871797051
InstanceGM,shortest_stable_no_catalog,feature_onset_fixed_20s,565,2.4008838652105555
InstanceGM,shortest_stable_no_catalog,feature_onset_fixed_60s,388,1.6487485658437089
InstanceGM,shortest_stable_no_catalog,arias_1_99_padded,337,1.4320316151786852
InstanceGM,shortest_stable_no_catalog,feature_onset_fixed,117,0.49717418093740706
InstanceGM,shortest_stable_no_catalog,full_record,37,0.1572260230314877
K-NET,adaptive_energy_end,feature_onset_to_energy_end,21141,100.0
K-NET,arias_1_99_padded,arias_1_99_padded,21141,100.0
K-NET,catalog_p_fixed,catalog_p_fixed,21141,100.0
K-NET,energy_first_then_adaptive,energy_onset_fixed,20484,96.89229459344402
K-NET,energy_first_then_adaptive,feature_onset_to_energy_end,623,2.9468804692304054
K-NET,energy_first_then_adaptive,full_record,34,0.1608249373255759
K-NET,energy_onset_fixed,energy_onset_fixed,21141,100.0
K-NET,feature_onset_fixed,feature_onset_fixed,21141,100.0
K-NET,full_record,full_record,21141,100.0
K-NET,shortest_stable_all,feature_onset_to_energy_end,17409,82.34709805591032
K-NET,shortest_stable_all,feature_onset_fixed_20s,3112,14.72021191050565
K-NET,shortest_stable_all,catalog_p_fixed,318,1.5041861785156805
K-NET,shortest_stable_all,energy_onset_fixed,219,1.035901802185327
K-NET,shortest_stable_all,feature_onset_fixed_60s,52,0.24596755120382197
K-NET,shortest_stable_all,feature_onset_fixed_90s,23,0.10879333995553664
K-NET,shortest_stable_all,arias_1_99_padded,4,0.01892058086183246
K-NET,shortest_stable_all,feature_onset_fixed,4,0.01892058086183246
K-NET,shortest_stable_no_catalog,feature_onset_to_energy_end,17410,82.35182820112577
K-NET,shortest_stable_no_catalog,feature_onset_fixed_20s,3112,14.72021191050565
K-NET,shortest_stable_no_catalog,energy_onset_fixed,510,2.4123740598836383
K-NET,shortest_stable_no_catalog,feature_onset_fixed_60s,52,0.24596755120382197
K-NET,shortest_stable_no_catalog,feature_onset_fixed,30,0.14190435646374344
K-NET,shortest_stable_no_catalog,feature_onset_fixed_90s,23,0.10879333995553664
K-NET,shortest_stable_no_catalog,arias_1_99_padded,4,0.01892058086183246
