dataset,policy,selected_candidate,records,pct
PNWAccelerometers,adaptive_energy_end,feature_onset_to_energy_end,6107,100.0
PNWAccelerometers,arias_1_99_padded,arias_1_99_padded,6107,100.0
PNWAccelerometers,catalog_p_fixed,catalog_p_fixed,6107,100.0
PNWAccelerometers,energy_first_then_adaptive,feature_onset_to_energy_end,4079,66.7922056656296
PNWAccelerometers,energy_first_then_adaptive,full_record,1194,19.551334534141148
PNWAccelerometers,energy_first_then_adaptive,energy_onset_fixed,834,13.656459800229245
PNWAccelerometers,energy_onset_fixed,energy_onset_fixed,6107,100.0
PNWAccelerometers,feature_onset_fixed,feature_onset_fixed,6107,100.0
PNWAccelerometers,full_record,full_record,6107,100.0
PNWAccelerometers,shortest_stable_all,feature_onset_to_energy_end,4487,73.47306369739644
PNWAccelerometers,shortest_stable_all,arias_1_99_padded,1001,16.39102669068282
PNWAccelerometers,shortest_stable_all,feature_onset_fixed_90s,328,5.370885868675291
PNWAccelerometers,shortest_stable_all,catalog_p_fixed,203,3.324054363844768
PNWAccelerometers,shortest_stable_all,feature_onset_fixed_60s,44,0.7204846897003438
PNWAccelerometers,shortest_stable_all,feature_onset_fixed_20s,37,0.6058621254298346
PNWAccelerometers,shortest_stable_all,energy_onset_fixed,6,0.09824791223186508
PNWAccelerometers,shortest_stable_all,full_record,1,0.016374652038644178
PNWAccelerometers,shortest_stable_no_catalog,feature_onset_to_energy_end,4588,75.1269035532995
PNWAccelerometers,shortest_stable_no_catalog,arias_1_99_padded,1001,16.39102669068282
PNWAccelerometers,shortest_stable_no_catalog,feature_onset_fixed_90s,332,5.4363844768298675
PNWAccelerometers,shortest_stable_no_catalog,feature_onset_fixed_60s,111,1.817586376289504
PNWAccelerometers,shortest_stable_no_catalog,energy_onset_fixed,37,0.6058621254298346
PNWAccelerometers,shortest_stable_no_catalog,feature_onset_fixed_20s,37,0.6058621254298346
PNWAccelerometers,shortest_stable_no_catalog,full_record,1,0.016374652038644178
