dataset,priority_group,policy,records,unstable_records,unstable_pct,median_window_duration_sec,p25_window_duration_sec,p75_window_duration_sec,p05_energy_retention,median_energy_retention,p05_pga_retention,full_record_fallback_records,full_record_fallback_pct
PNWAccelerometers,low_magnitude_background,adaptive_energy_end,5563,1092,19.62969620708251,140.1,110.60499999999999,145.43,0.9451035965337874,0.9621915368092656,1.0,0,0.0
PNWAccelerometers,low_magnitude_background,arias_1_99_padded,5563,1,0.017975912277548085,150.01,150.01,150.01,0.9897982271160594,1.0,1.0,0,0.0
PNWAccelerometers,low_magnitude_background,catalog_p_fixed,5563,4912,88.2976811073162,42.0,42.0,42.0,0.2696848120633533,0.5719637179897656,0.6297917902469635,0,0.0
PNWAccelerometers,low_magnitude_background,energy_first_then_adaptive,5563,0,0.0,144.44,136.35500000000002,149.47,0.9526789077908027,0.9683583141255396,1.0,1081,19.43196117202948
PNWAccelerometers,low_magnitude_background,energy_onset_fixed,5563,5020,90.23907963329138,41.92,40.89,42.0,0.0375715119298307,0.1967817654870473,0.037775014340877454,0,0.0
PNWAccelerometers,low_magnitude_background,feature_onset_fixed,5563,5026,90.34693510695668,41.92,40.89,42.0,0.03731711725393692,0.196283955917034,0.037608727067708916,0,0.0
PNWAccelerometers,low_magnitude_background,full_record,5563,0,0.0,150.01,150.01,150.01,1.0,1.0,1.0,0,0.0
PNWAccelerometers,low_magnitude_background,shortest_stable_all,5563,0,0.0,143.2,130.125,147.26,0.9523334605187654,0.9659965560413885,1.0,1,0.017975912277548085
PNWAccelerometers,low_magnitude_background,shortest_stable_no_catalog,5563,0,0.0,143.2,130.125,147.26,0.9522080794214187,0.9659499696456304,1.0,1,0.017975912277548085
PNWAccelerometers,m3_to_m4_small_event,adaptive_energy_end,468,110,23.504273504273502,43.525000000000006,21.0975,91.025,0.9459869884126757,0.9584461715975542,1.0,0,0.0
PNWAccelerometers,m3_to_m4_small_event,arias_1_99_padded,468,0,0.0,94.91999999999999,58.4925,150.01,0.987802621436501,0.9967682078790439,1.0,0,0.0
PNWAccelerometers,m3_to_m4_small_event,catalog_p_fixed,468,185,39.52991452991453,42.0,42.0,42.0,0.6211396689143123,0.971158140074313,1.0,0,0.0
PNWAccelerometers,m3_to_m4_small_event,energy_first_then_adaptive,468,0,0.0,42.01,42.0,143.6175,0.9508683844585567,0.9922753511065302,1.0,110,23.504273504273502
PNWAccelerometers,m3_to_m4_small_event,energy_onset_fixed,468,230,49.14529914529914,42.0,42.0,42.0,0.025050182302539404,0.9545408947567293,0.03411987330764524,0,0.0
PNWAccelerometers,m3_to_m4_small_event,feature_onset_fixed,468,235,50.21367521367522,42.0,42.0,42.0,0.02494591756739551,0.9475254750303523,0.0335312249138951,0,0.0
PNWAccelerometers,m3_to_m4_small_event,full_record,468,0,0.0,150.01,150.01,150.01,1.0,1.0,1.0,0,0.0
PNWAccelerometers,m3_to_m4_small_event,shortest_stable_all,468,0,0.0,42.0,21.0975,107.45,0.9518798038437589,0.9651952730703093,1.0,0,0.0
PNWAccelerometers,m3_to_m4_small_event,shortest_stable_no_catalog,468,0,0.0,42.0,21.0975,107.45,0.9508683844585567,0.964368726164096,1.0,0,0.0
PNWAccelerometers,m4plus_strong_motion,adaptive_energy_end,76,3,3.9473684210526314,37.455,28.185,47.4375,0.9506965856410449,0.9609194349275232,1.0,0,0.0
PNWAccelerometers,m4plus_strong_motion,arias_1_99_padded,76,0,0.0,81.18,69.935,91.7475,0.9899033517933913,0.9961838036970876,1.0,0,0.0
PNWAccelerometers,m4plus_strong_motion,catalog_p_fixed,76,23,30.263157894736842,42.0,42.0,42.0,0.8917328819270562,0.9753401914778048,1.0,0,0.0
PNWAccelerometers,m4plus_strong_motion,energy_first_then_adaptive,76,0,0.0,42.0,42.0,46.985,0.9525618212527325,0.9787770955685839,1.0,3,3.9473684210526314
