dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
InstanceGM,low_magnitude_background,arias_1_99_padded,0.2,300,3,1.0,1.0,0.9999999999999821,0.9918944310475323,120.0
InstanceGM,low_magnitude_background,arias_1_99_padded,1.0,300,8,2.666666666666667,1.0,0.9994405025619911,0.7311584909969718,120.0
InstanceGM,low_magnitude_background,arias_1_99_padded,3.0,300,35,11.666666666666666,1.0,0.7513100766287379,0.5031962246108564,120.0
InstanceGM,low_magnitude_background,feature_onset_fixed,0.2,300,62,20.666666666666668,0.9999999999999996,0.3609018796104204,0.008406732893425509,42.0
InstanceGM,low_magnitude_background,feature_onset_fixed,1.0,300,145,48.333333333333336,0.9605806582837653,0.3909322647928044,0.07666938202632467,42.0
InstanceGM,low_magnitude_background,feature_onset_fixed,3.0,300,218,72.66666666666667,0.7754373685917622,0.4227247618660189,0.17117804160383387,42.0
InstanceGM,low_magnitude_background,shortest_stable_no_catalog,0.2,300,1,0.33333333333333337,1.0,0.9999993585892462,0.9760494826131914,89.815
InstanceGM,low_magnitude_background,shortest_stable_no_catalog,1.0,300,33,11.0,0.9999858555917772,0.8683682965530088,0.6841916834901008,89.815
InstanceGM,low_magnitude_background,shortest_stable_no_catalog,3.0,300,99,33.0,0.994569881388413,0.5676939716576735,0.3442807097111266,89.815
InstanceGM,m3_to_m4_small_event,arias_1_99_padded,0.2,300,0,0.0,1.0,0.9999999999999948,0.9999999999998541,94.27000000000001
InstanceGM,m3_to_m4_small_event,arias_1_99_padded,1.0,300,0,0.0,0.9999999923645849,0.9999382776872573,0.9998241061737844,94.27000000000001
InstanceGM,m3_to_m4_small_event,arias_1_99_padded,3.0,300,17,5.666666666666666,0.9998618400673387,0.943328178782417,0.7695872407906719,94.27000000000001
InstanceGM,m3_to_m4_small_event,feature_onset_fixed,0.2,300,68,22.666666666666664,0.9999999999999999,0.26189826536811983,0.0023073890034226883,42.0
InstanceGM,m3_to_m4_small_event,feature_onset_fixed,1.0,300,125,41.66666666666667,0.9998156516979491,0.21459695586425084,0.015066365197445962,42.0
InstanceGM,m3_to_m4_small_event,feature_onset_fixed,3.0,300,181,60.333333333333336,0.8373168537263624,0.2974453613738024,0.10290875033017696,42.0
InstanceGM,m3_to_m4_small_event,shortest_stable_no_catalog,0.2,300,1,0.33333333333333337,1.0,0.9999999660396772,0.999978889705936,42.01
InstanceGM,m3_to_m4_small_event,shortest_stable_no_catalog,1.0,300,13,4.333333333333334,0.9999989228360353,0.9656726367872431,0.7627520397282721,42.01
InstanceGM,m3_to_m4_small_event,shortest_stable_no_catalog,3.0,300,75,25.0,0.9985650320196848,0.7184696544171056,0.5729450409412453,42.01
InstanceGM,m4plus_strong_motion,arias_1_99_padded,0.2,300,1,0.33333333333333337,1.0,0.9999999999999922,0.9999999999998315,93.72999999999999
