dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
InstanceGM,low_magnitude_background,product_spectral_safeguard,0.2,9000,0,0.0,1.0,0.9999999999972319,0.9999957458164369,108.69
InstanceGM,low_magnitude_background,product_spectral_safeguard,1.0,9000,0,0.0,0.9999998560137876,0.9974296453630009,0.9710531828291774,108.69
InstanceGM,low_magnitude_background,product_spectral_safeguard,3.0,9000,0,0.0,0.9998845320877154,0.973018090000148,0.9556399898103088,108.69
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,0.2,9000,0,0.0,1.0,0.999999998164222,0.9999921445504087,72.91
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,1.0,9000,0,0.0,0.9999998384067307,0.9994342787794098,0.9873208289062347,72.91
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,3.0,9000,0,0.0,0.9996684020170723,0.9729313857498538,0.9560292370699581,72.91
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,0.2,5533,0,0.0,1.0,0.9999999812314195,0.9999872922511894,68.42
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,1.0,5533,0,0.0,0.999999981875655,0.9996594264122396,0.9926278088692878,68.42
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,3.0,5533,0,0.0,0.9999619559988784,0.9857871016853035,0.9608657092949312,68.42
K-NET,low_magnitude_background,product_spectral_safeguard,0.2,21,0,0.0,1.0,0.9999995927760116,0.9999995509314097,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,1.0,21,0,0.0,1.0,0.9997605397761749,0.9993110306232728,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,3.0,21,0,0.0,1.0,0.989857610275468,0.9852140707511243,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,0.2,5647,0,0.0,1.0,0.9999995440090215,0.9999689587604179,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,1.0,5647,0,0.0,1.0,0.997501870561756,0.9907139579833377,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,3.0,5647,0,0.0,1.0,0.9693665204143868,0.9542366912392323,60.0
K-NET,m4plus_strong_motion,product_spectral_safeguard,0.2,15473,0,0.0,1.0,0.9999999235396234,0.999977462304567,37.94
K-NET,m4plus_strong_motion,product_spectral_safeguard,1.0,15473,0,0.0,0.9999999641772463,0.9991492598823972,0.9931706432374463,37.94
K-NET,m4plus_strong_motion,product_spectral_safeguard,3.0,15473,0,0.0,1.0,0.9732190102590521,0.956078427510317,37.94
InstanceGM,ALL,product_spectral_safeguard,0.2,23533,0,0.0,1.0,0.9999999988406751,0.9999920471911043,92.0
InstanceGM,ALL,product_spectral_safeguard,1.0,23533,0,0.0,0.9999999069810518,0.9991116878984767,0.9788963812305077,92.0
InstanceGM,ALL,product_spectral_safeguard,3.0,23533,0,0.0,0.9998507124677428,0.975251810123285,0.9565877129837729,92.0
K-NET,ALL,product_spectral_safeguard,0.2,21141,0,0.0,1.0,0.9999998266885916,0.9999758014846958,44.81
K-NET,ALL,product_spectral_safeguard,1.0,21141,0,0.0,1.0,0.9987500085424368,0.9922217816008924,44.81
K-NET,ALL,product_spectral_safeguard,3.0,21141,0,0.0,1.0,0.9722197970512172,0.9554458128957177,44.81
ALL,ALL,product_spectral_safeguard,0.2,44674,0,0.0,1.0,0.9999999642897139,0.9999825042927615,60.0
ALL,ALL,product_spectral_safeguard,1.0,44674,0,0.0,0.999999977781572,0.9988996402108042,0.9859321421069914,60.0
ALL,ALL,product_spectral_safeguard,3.0,44674,0,0.0,0.9999648278917797,0.9736098353340635,0.9560567007645572,60.0
