dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
InstanceGM,low_magnitude_background,product_spectral_safeguard,0.2,9000,0,0.0,1.0,0.9999999999997898,0.9999991799202204,109.99
InstanceGM,low_magnitude_background,product_spectral_safeguard,1.0,9000,0,0.0,0.9999999896767294,0.9992507490286536,0.9904407523768257,109.99
InstanceGM,low_magnitude_background,product_spectral_safeguard,3.0,9000,0,0.0,0.999985448271976,0.9882429059325791,0.9821430263481716,109.99
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,0.2,9000,0,0.0,1.0,0.9999999997319854,0.9999978220007533,78.505
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,1.0,9000,0,0.0,0.9999998983980924,0.9997486677149221,0.9969537506417169,78.505
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,3.0,9000,0,0.0,0.999782707203114,0.9883440658085741,0.9823493314192453,78.505
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,0.2,5533,0,0.0,1.0,0.9999999880388556,0.9999905732758383,70.89
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,1.0,5533,0,0.0,0.9999999855047972,0.9998086557709263,0.9978787033134842,70.89
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,3.0,5533,0,0.0,0.9999707521372116,0.9930789301982137,0.9844148642712968,70.89
K-NET,low_magnitude_background,product_spectral_safeguard,0.2,21,0,0.0,1.0,0.9999995927760116,0.9999995509314097,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,1.0,21,0,0.0,1.0,0.9997605397761749,0.9993110306232728,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,3.0,21,0,0.0,1.0,0.989857610275468,0.9852140707511243,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,0.2,5647,0,0.0,1.0,0.999999821719073,0.999987941461675,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,1.0,5647,0,0.0,1.0,0.9985026342446862,0.9939460260221199,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,3.0,5647,0,0.0,1.0,0.9887516974657968,0.9820193105693371,60.0
K-NET,m4plus_strong_motion,product_spectral_safeguard,0.2,15473,0,0.0,1.0,0.999999964144321,0.9999836296866481,46.63
K-NET,m4plus_strong_motion,product_spectral_safeguard,1.0,15473,0,0.0,1.0,0.9994566563948831,0.9968045833463544,46.63
K-NET,m4plus_strong_motion,product_spectral_safeguard,3.0,15473,0,0.0,1.0,0.9880163539606487,0.9818283088818771,46.63
InstanceGM,ALL,product_spectral_safeguard,0.2,23533,0,0.0,1.0,0.9999999998081409,0.9999971805890002,96.54
InstanceGM,ALL,product_spectral_safeguard,1.0,23533,0,0.0,0.9999999619447828,0.9996035578195558,0.9945518054324622,96.54
InstanceGM,ALL,product_spectral_safeguard,3.0,23533,0,0.0,0.9999324694556062,0.9890495791972317,0.9825349940181674,96.54
K-NET,ALL,product_spectral_safeguard,0.2,21141,0,0.0,1.0,0.9999999379783302,0.9999840319967268,54.01
K-NET,ALL,product_spectral_safeguard,1.0,21141,0,0.0,1.0,0.9992709673250892,0.9957903172217095,54.01
K-NET,ALL,product_spectral_safeguard,3.0,21141,0,0.0,1.0,0.9881974414561026,0.9818713188001696,54.01
ALL,ALL,product_spectral_safeguard,0.2,44674,0,0.0,1.0,0.999999989743914,0.9999913699591824,65.17500000000001
ALL,ALL,product_spectral_safeguard,1.0,44674,0,0.0,0.9999999994248274,0.9994269623242177,0.9952909548587818,65.17500000000001
ALL,ALL,product_spectral_safeguard,3.0,44674,0,0.0,0.9999981484107915,0.9886186057803467,0.9821615168727064,65.17500000000001
