dataset,priority_group,policy,period_sec,records,spectrum_unstable_records,spectrum_unstable_pct,median_psa_retention,p05_psa_retention,p01_psa_retention,median_window_duration_sec
InstanceGM,low_magnitude_background,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.9999999999926791,0.9999101592198079,108.115
InstanceGM,low_magnitude_background,product_spectral_safeguard,1.0,300,0,0.0,0.9999998580168398,0.9990772674313599,0.9890643251353771,108.115
InstanceGM,low_magnitude_background,product_spectral_safeguard,3.0,300,0,0.0,0.9996078194415734,0.9728655932008089,0.9589725734861149,108.115
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.999999999525069,0.9999996697878245,74.655
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,1.0,300,0,0.0,0.9999998892581271,0.9993230235515939,0.987776243106868,74.655
InstanceGM,m3_to_m4_small_event,product_spectral_safeguard,3.0,300,0,0.0,0.999774567956236,0.9772521224454973,0.9604660369627351,74.655
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.9999999786870044,0.99998505642734,65.73
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,1.0,300,0,0.0,0.9999999671478198,0.9995355722337005,0.9806076717665586,65.73
InstanceGM,m4plus_strong_motion,product_spectral_safeguard,3.0,300,0,0.0,0.9999493162444214,0.9819425814614821,0.9647200042329132,65.73
K-NET,low_magnitude_background,product_spectral_safeguard,0.2,21,0,0.0,1.0,1.0,0.9999996163403638,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,1.0,21,0,0.0,1.0,1.0,0.9999909968228381,60.0
K-NET,low_magnitude_background,product_spectral_safeguard,3.0,21,0,0.0,1.0,0.9989057587212684,0.9802857532834849,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.9999992090072166,0.9999779737895225,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,1.0,300,0,0.0,1.0,0.9980506395147555,0.992782493681192,60.0
K-NET,m3_to_m4_small_event,product_spectral_safeguard,3.0,300,0,0.0,1.0,0.97312317859987,0.9555554762153321,60.0
K-NET,m4plus_strong_motion,product_spectral_safeguard,0.2,300,0,0.0,1.0,0.9999999770728177,0.9999778187631035,52.33
K-NET,m4plus_strong_motion,product_spectral_safeguard,1.0,300,0,0.0,1.0,0.9994836899659131,0.9981546224149828,52.33
K-NET,m4plus_strong_motion,product_spectral_safeguard,3.0,300,0,0.0,1.0,0.9763213902641809,0.9575513702800125,52.33
InstanceGM,ALL,product_spectral_safeguard,0.2,900,0,0.0,1.0,0.99999999843198,0.999982891990542,88.99
InstanceGM,ALL,product_spectral_safeguard,1.0,900,0,0.0,0.9999999150810019,0.9992501944003686,0.9861567339143782,88.99
InstanceGM,ALL,product_spectral_safeguard,3.0,900,0,0.0,0.9998694335241518,0.9770854472574243,0.9604700273310816,88.99
K-NET,ALL,product_spectral_safeguard,0.2,621,0,0.0,1.0,0.9999996213995505,0.9999779079269933,60.0
K-NET,ALL,product_spectral_safeguard,1.0,621,0,0.0,1.0,0.998579386951504,0.994340627158377,60.0
K-NET,ALL,product_spectral_safeguard,3.0,621,0,0.0,1.0,0.9750428083864844,0.9557371101446122,60.0
ALL,ALL,product_spectral_safeguard,0.2,1521,0,0.0,1.0,0.999999958093515,0.9999782029439522,69.0
ALL,ALL,product_spectral_safeguard,1.0,1521,0,0.0,0.9999999983033652,0.9990070754777822,0.989414247245458,69.0
ALL,ALL,product_spectral_safeguard,3.0,1521,0,0.0,0.9999877602335034,0.9765475514455196,0.9582388363293431,69.0
