dataset,priority_group,candidate,records,unstable_records,unstable_pct,median_pga_retention,p05_pga_retention,median_energy_retention,p05_energy_retention
InstanceGM,low_magnitude_background,arias_1_99_padded,9000,39,0.4333333333333333,1.0,1.0,1.0,0.9930624784286843
InstanceGM,low_magnitude_background,catalog_p_fixed,9000,6066,67.4,1.0,0.6169864267110825,0.8223289650792611,0.3510063070713738
InstanceGM,low_magnitude_background,energy_onset_fixed,9000,5976,66.4,1.0,0.5502114981412888,0.8266562152998432,0.3311101790675293
InstanceGM,low_magnitude_background,feature_onset_fixed,9000,6454,71.71111111111111,1.0,0.3641959175467491,0.777962727407788,0.2403005933867892
InstanceGM,low_magnitude_background,feature_onset_fixed_20s,9000,8365,92.94444444444444,0.6875439584255219,0.04076736774295569,0.20238439892979426,0.005437821038739657
InstanceGM,low_magnitude_background,feature_onset_fixed_60s,9000,5633,62.588888888888896,1.0,0.7227017879486085,0.8799346313845858,0.50490707194938
InstanceGM,low_magnitude_background,feature_onset_fixed_90s,9000,4298,47.75555555555556,1.0,0.9328541904687883,0.9575201548204062,0.7816204513365772
InstanceGM,low_magnitude_background,feature_onset_to_energy_end,9000,218,2.422222222222222,1.0,1.0,0.9688822035554843,0.9522791891243726
InstanceGM,low_magnitude_background,full_record,9000,0,0.0,1.0,1.0,1.0,1.0
InstanceGM,m3_to_m4_small_event,arias_1_99_padded,9000,28,0.3111111111111111,1.0,1.0,0.999079033456577,0.9937776891052359
InstanceGM,m3_to_m4_small_event,catalog_p_fixed,9000,4229,46.988888888888894,1.0,0.7550667345523835,0.9600039332457606,0.37553953664114875
InstanceGM,m3_to_m4_small_event,energy_onset_fixed,9000,4071,45.233333333333334,1.0,0.6482170462608338,0.9651107165883359,0.34227873769973477
InstanceGM,m3_to_m4_small_event,feature_onset_fixed,9000,5571,61.9,1.0,0.44702940732240676,0.8860290816951586,0.23887683788966013
InstanceGM,m3_to_m4_small_event,feature_onset_fixed_20s,9000,8527,94.74444444444444,0.4562075436115265,0.02738061659038067,0.13941768599224333,0.0012337493163076796
InstanceGM,m3_to_m4_small_event,feature_onset_fixed_60s,9000,3646,40.511111111111106,1.0,0.841040861606598,0.9751462105465867,0.5312677910724617
InstanceGM,m3_to_m4_small_event,feature_onset_fixed_90s,9000,2168,24.08888888888889,1.0,1.0,0.9939759057925636,0.8134698566752081
InstanceGM,m3_to_m4_small_event,feature_onset_to_energy_end,9000,166,1.8444444444444443,1.0,1.0,0.967211203263062,0.9533937323354108
InstanceGM,m3_to_m4_small_event,full_record,9000,0,0.0,1.0,1.0,1.0,1.0
InstanceGM,m4plus_strong_motion,arias_1_99_padded,5533,19,0.34339418037231156,1.0,1.0,0.9984561986260695,0.9949969169742148
InstanceGM,m4plus_strong_motion,catalog_p_fixed,5533,3013,54.455087655882885,1.0,0.5103473901748657,0.928271974329509,0.25658267792807643
InstanceGM,m4plus_strong_motion,energy_onset_fixed,5533,2757,49.82830290981384,1.0,0.5457298994064331,0.9518765325212578,0.28059571330178457
InstanceGM,m4plus_strong_motion,feature_onset_fixed,5533,3871,69.9620459063799,1.0,0.32204331159591676,0.8000783598967683,0.11714138298232717
InstanceGM,m4plus_strong_motion,feature_onset_fixed_20s,5533,5314,96.04193023676125,0.37012749910354614,0.024041699245572097,0.08603595402221507,0.0006026925316693389
InstanceGM,m4plus_strong_motion,feature_onset_fixed_60s,5533,2510,45.3641785649738,1.0,0.6123390913009643,0.9652500428654794,0.3657978742067348
InstanceGM,m4plus_strong_motion,feature_onset_fixed_90s,5533,1277,23.079703596602204,1.0,1.0,0.9952223808485818,0.7928528481343602
InstanceGM,m4plus_strong_motion,feature_onset_to_energy_end,5533,40,0.7229351165732876,1.0,1.0,0.9658701516947106,0.9559211778287182
InstanceGM,m4plus_strong_motion,full_record,5533,0,0.0,1.0,1.0,1.0,1.0
K-NET,low_magnitude_background,arias_1_99_padded,21,0,0.0,1.0,1.0,0.9988315890978283,0.9962524249837308
K-NET,low_magnitude_background,catalog_p_fixed,21,0,0.0,1.0,1.0,0.9991898262030149,0.995246524489273
K-NET,low_magnitude_background,energy_onset_fixed,21,0,0.0,1.0,1.0,0.9992074903149882,0.995252952809451
K-NET,low_magnitude_background,feature_onset_fixed,21,0,0.0,1.0,1.0,0.9991991118870756,0.9955453674268456
K-NET,low_magnitude_background,feature_onset_fixed_20s,21,1,4.761904761904762,1.0,1.0,0.9929487465399447,0.9503462680624009
K-NET,low_magnitude_background,feature_onset_fixed_60s,21,0,0.0,1.0,1.0,0.9998362221369985,0.9985634354930712
K-NET,low_magnitude_background,feature_onset_fixed_90s,21,0,0.0,1.0,1.0,0.9998362221369985,0.9985634354930712
K-NET,low_magnitude_background,feature_onset_to_energy_end,21,0,0.0,1.0,1.0,0.9735532405106161,0.9651861046066271
K-NET,low_magnitude_background,full_record,21,0,0.0,1.0,1.0,1.0,1.0
K-NET,m3_to_m4_small_event,arias_1_99_padded,5647,0,0.0,1.0,1.0,0.9983418521790586,0.9936303577074331
K-NET,m3_to_m4_small_event,catalog_p_fixed,5647,96,1.700017708517797,1.0,1.0,0.9976285853629926,0.9786021439343315
K-NET,m3_to_m4_small_event,energy_onset_fixed,5647,94,1.6646006729236762,1.0,1.0,0.997626008217414,0.9788830514680782
K-NET,m3_to_m4_small_event,feature_onset_fixed,5647,94,1.6646006729236762,1.0,1.0,0.9976308321680115,0.9788797857987919
K-NET,m3_to_m4_small_event,feature_onset_fixed_20s,5647,1124,19.904374003895875,1.0,1.0,0.9812985082933617,0.89772825690538
K-NET,m3_to_m4_small_event,feature_onset_fixed_60s,5647,59,1.0448025500265627,1.0,1.0,0.999361537009307,0.9880573050920272
K-NET,m3_to_m4_small_event,feature_onset_fixed_90s,5647,11,0.19479369576766425,1.0,1.0,0.9997697680107709,0.995281468605011
K-NET,m3_to_m4_small_event,feature_onset_to_energy_end,5647,20,0.3541703559412077,1.0,1.0,0.9722499981045852,0.9614178786380831
K-NET,m3_to_m4_small_event,full_record,5647,0,0.0,1.0,1.0,1.0,1.0
K-NET,m4plus_strong_motion,arias_1_99_padded,15473,0,0.0,1.0,1.0,0.997948181812772,0.9949253941732494
K-NET,m4plus_strong_motion,catalog_p_fixed,15473,757,4.892393201059911,1.0,1.0,0.9939907273792702,0.950664893419689
K-NET,m4plus_strong_motion,energy_onset_fixed,15473,563,3.6385962644606735,1.0,1.0,0.9942507382022436,0.9590546283554784
