dataset,priority_group,candidate,records,unstable_records,unstable_pct,median_pga_retention,p05_pga_retention,median_energy_retention,p05_energy_retention
PNWAccelerometers,low_magnitude_background,arias_1_99_padded,5563,1,0.017975912277548085,1.0,1.0,1.0,0.9897982271160594
PNWAccelerometers,low_magnitude_background,catalog_p_fixed,5563,4912,88.2976811073162,1.0,0.6297917902469635,0.5719637179897656,0.2696848120633534
PNWAccelerometers,low_magnitude_background,energy_onset_fixed,5563,5020,90.23907963329138,0.18078488111495972,0.03777501434087754,0.19678176548704734,0.03757151192983071
PNWAccelerometers,low_magnitude_background,feature_onset_fixed,5563,5026,90.34693510695668,0.18052104115486145,0.03760872706770897,0.196283955917034,0.03731711725393699
PNWAccelerometers,low_magnitude_background,feature_onset_fixed_20s,5563,5176,93.04332194858888,0.14564484357833862,0.026205889508128168,0.09542798001373773,0.012000100141663623
PNWAccelerometers,low_magnitude_background,feature_onset_fixed_60s,5563,4855,87.27305410749595,1.0,0.20249816179275512,0.5437575405275233,0.2435827132292632
PNWAccelerometers,low_magnitude_background,feature_onset_fixed_90s,5563,4514,81.14326802085205,1.0,0.8342969596385956,0.7795074366346932,0.5816102731218878
PNWAccelerometers,low_magnitude_background,feature_onset_to_energy_end,5563,1092,19.62969620708251,1.0,1.0,0.9621915368092655,0.9451035965337874
PNWAccelerometers,low_magnitude_background,full_record,5563,0,0.0,1.0,1.0,1.0,1.0
PNWAccelerometers,m3_to_m4_small_event,arias_1_99_padded,468,0,0.0,1.0,1.0,0.9967682078790439,0.9878026214365009
PNWAccelerometers,m3_to_m4_small_event,catalog_p_fixed,468,185,39.52991452991453,1.0,1.0,0.971158140074313,0.6211396689143123
PNWAccelerometers,m3_to_m4_small_event,energy_onset_fixed,468,230,49.14529914529914,1.0,0.03411987330764532,0.9545408947567294,0.025050182302539442
PNWAccelerometers,m3_to_m4_small_event,feature_onset_fixed,468,235,50.21367521367522,1.0,0.03353122491389513,0.9475254750303526,0.024945917567395542
PNWAccelerometers,m3_to_m4_small_event,feature_onset_fixed_20s,468,320,68.37606837606837,0.3021449148654938,0.018225454725325108,0.19581733501415605,0.006609115951209125
PNWAccelerometers,m3_to_m4_small_event,feature_onset_fixed_60s,468,192,41.02564102564102,1.0,0.11956954337656499,0.977304893112539,0.14196475565606326
PNWAccelerometers,m3_to_m4_small_event,feature_onset_fixed_90s,468,120,25.64102564102564,1.0,1.0,0.9876366734824011,0.7746907268885883
PNWAccelerometers,m3_to_m4_small_event,feature_onset_to_energy_end,468,110,23.504273504273502,1.0,1.0,0.9584461715975543,0.9459869884126757
PNWAccelerometers,m3_to_m4_small_event,full_record,468,0,0.0,1.0,1.0,1.0,1.0
PNWAccelerometers,m4plus_strong_motion,arias_1_99_padded,76,0,0.0,1.0,1.0,0.9961838036970876,0.9899033517933913
PNWAccelerometers,m4plus_strong_motion,catalog_p_fixed,76,23,30.263157894736842,1.0,1.0,0.9753401914778048,0.8917328819270562
PNWAccelerometers,m4plus_strong_motion,energy_onset_fixed,76,23,30.263157894736842,1.0,1.0,0.9746895958998336,0.8778785666931243
PNWAccelerometers,m4plus_strong_motion,feature_onset_fixed,76,25,32.89473684210527,1.0,0.8425074815750122,0.9742222794104392,0.669150373869422
PNWAccelerometers,m4plus_strong_motion,feature_onset_fixed_20s,76,62,81.57894736842105,1.0,0.13794956728816032,0.8036833116797419,0.02292639557945817
PNWAccelerometers,m4plus_strong_motion,feature_onset_fixed_60s,76,4,5.263157894736842,1.0,1.0,0.9907085394714459,0.9316647871911596
PNWAccelerometers,m4plus_strong_motion,feature_onset_fixed_90s,76,1,1.3157894736842104,1.0,1.0,0.9988941922281447,0.9874439908203742
PNWAccelerometers,m4plus_strong_motion,feature_onset_to_energy_end,76,3,3.9473684210526314,1.0,1.0,0.9609194349275231,0.9506965856410449
PNWAccelerometers,m4plus_strong_motion,full_record,76,0,0.0,1.0,1.0,1.0,1.0
ALL,ALL,ALL,54963,32129,58.45568837217765,1.0,0.0574040524661541,0.8348991638525508,0.04840168178046775
