record_uid,dataset,priority_group,split,magnitude,candidate,candidate_start_sec,candidate_end_sec,feature_onset_sec,feature_energy_onset_sec,feature_energy_end_sec,catalog_p_sec,feature_spike_score,feature_significant_duration_sec,window_start_sample,window_end_sample,window_duration_sec,full_pga,window_pga,pga_retention,full_energy,window_energy,energy_retention,full_rms,window_rms,peak_time_sec,peak_inside_window,window_unstable,failure_reason,window_unstable_bool,policy,selection_status,selected_candidate,period_sec,psa_retention,spectrum_unstable,full_record_required,long_period_psa_review,production_route,review_priority
K-NET:7047,K-NET,m4plus_strong_motion,test,4.4,full_record,0.0,180.0,14.29,14.29,104.39,14.21,64.02250215142487,90.1,0.0,36000.0,180.0,6.265366077423096,6.265366077423096,1.0,35.103540925640694,35.103540925640694,1.0,0.4416103166923469,0.4416103166923469,22.53,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
K-NET:20371,K-NET,m4plus_strong_motion,train,4.3,full_record,0.0,180.0,8.97,8.97,126.51,8.815,53.60962798896721,117.54,0.0,36000.0,180.0,8.112789154052734,8.112789154052734,1.0,55.071112918768314,55.071112918768314,1.0,0.5531280388178588,0.5531280388178588,15.57,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1140,PNWAccelerometers,m3_to_m4_small_event,,3.01,full_record,0.0,150.01,10.7,10.7,86.46,58.33,71.48921102740887,75.75999999999999,0.0,15001.0,150.01,832.0263671875,832.0263671875,1.0,609602.0347145781,609602.0347145781,1.0,63.747491312107975,63.747491312107975,65.4,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1141,PNWAccelerometers,m3_to_m4_small_event,,3.01,full_record,0.0,150.01,6.9,6.9,121.13,58.38,51.62871375473919,114.23,0.0,15001.0,150.01,717.5073852539062,717.5073852539062,1.0,574836.4049564562,574836.4049564562,1.0,61.903047048542895,61.903047048542895,58.51,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1170,PNWAccelerometers,m3_to_m4_small_event,,3.27,full_record,0.0,150.01,32.71,32.71,108.64,54.15,90.5068369140929,75.93,0.0,15001.0,150.01,7826.10595703125,7826.10595703125,1.0,41191790.78929581,41191790.78929581,1.0,524.0168244943558,524.0168244943558,58.11,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1173,PNWAccelerometers,m3_to_m4_small_event,,3.41,full_record,0.0,150.01,55.67,55.67,126.92,56.95,49.103946388583594,71.25,0.0,15001.0,150.01,2485.933837890625,2485.933837890625,1.0,3643306.401780907,3643306.401780907,1.0,155.8431589960207,155.8431589960207,63.22,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1174,PNWAccelerometers,m3_to_m4_small_event,,3.2,full_record,0.0,150.01,11.57,11.57,133.95,57.64,46.79765726251977,122.38,0.0,15001.0,150.01,1585.8056640625,1585.8056640625,1.0,2238178.88455674,2238178.88455674,1.0,122.14826189452177,122.14826189452177,64.83,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1275,PNWAccelerometers,m3_to_m4_small_event,,3.4,full_record,0.0,150.01,28.85,28.85,92.16,56.67,83.2925800584583,63.309999999999995,0.0,15001.0,150.01,3622.542236328125,3622.542236328125,1.0,14662726.214490442,14662726.214490442,1.0,312.64195458034527,312.64195458034527,63.22,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1276,PNWAccelerometers,m3_to_m4_small_event,,3.4,full_record,0.0,150.01,12.94,12.94,84.12,59.28,61.48526261947544,71.18,0.0,15001.0,150.01,1724.539306640625,1724.539306640625,1.0,4557010.126104329,4557010.126104329,1.0,174.2929783569662,174.2929783569662,69.03,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1280,PNWAccelerometers,m3_to_m4_small_event,,3.4,full_record,0.0,150.01,8.09,8.09,112.49,68.12,53.813678136019846,104.4,0.0,15001.0,150.01,387.5508117675781,387.5508117675781,1.0,160873.85600045923,160873.85600045923,1.0,32.74783777001398,32.74783777001398,83.0,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:132,PNWAccelerometers,m3_to_m4_small_event,,3.85,full_record,0.0,150.01,9.05,9.05,89.62,58.78,126.11298760425528,80.57000000000001,0.0,15001.0,150.01,11435.953125,11435.953125,1.0,61430722.173576176,61430722.173576176,1.0,639.9303455069943,639.9303455069943,66.58,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:136,PNWAccelerometers,m3_to_m4_small_event,,3.85,full_record,0.0,150.01,7.23,7.23,116.45,61.29,46.4222414503048,109.22,0.0,15001.0,150.01,1296.146728515625,1296.146728515625,1.0,1935468.597553556,1935468.597553556,1.0,113.58813244687224,113.58813244687224,71.63,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:148,PNWAccelerometers,m3_to_m4_small_event,,3.35,full_record,0.0,150.01,29.2,29.2,104.39,60.71,69.40779608037938,75.19,0.0,15001.0,150.01,990.5663452148438,990.5663452148438,1.0,719856.5785344845,719856.5785344845,1.0,69.27282253501079,69.27282253501079,61.1,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:150,PNWAccelerometers,m3_to_m4_small_event,,3.35,full_record,0.0,150.01,6.31,6.31,113.02,63.64,38.83920730480408,106.71,0.0,15001.0,150.01,556.0507202148438,556.0507202148438,1.0,486408.94899512746,486408.94899512746,1.0,56.94304311582083,56.94304311582083,75.07,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1635,PNWAccelerometers,m3_to_m4_small_event,,3.06,full_record,0.0,150.01,46.58,46.58,95.47,53.86,134.14421141428923,48.89,0.0,15001.0,150.01,9496.587890625,9496.587890625,1.0,30743616.060319837,30743616.060319837,1.0,452.7071652665035,452.7071652665035,57.47,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1636,PNWAccelerometers,m3_to_m4_small_event,,3.06,full_record,0.0,150.01,12.76,12.76,86.1,56.39,68.29911212975487,73.33999999999999,0.0,15001.0,150.01,1433.010498046875,1433.010498046875,1.0,2349842.3549418543,2349842.3549418543,1.0,125.15818548881532,125.15818548881532,62.25,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1759,PNWAccelerometers,m3_to_m4_small_event,,3.48,full_record,0.0,150.01,9.67,9.67,114.7,60.93,61.3293529072501,105.03,0.0,15001.0,150.01,231.0293731689453,231.0293731689453,1.0,52055.92196358232,52055.92196358232,1.0,18.62837473678778,18.62837473678778,61.02,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1764,PNWAccelerometers,m3_to_m4_small_event,,3.48,full_record,0.0,150.01,6.15,6.15,85.96,61.43,106.1036362578084,79.80999999999999,0.0,15001.0,150.01,1211.3760986328125,1211.3760986328125,1.0,581602.5308893914,581602.5308893914,1.0,62.26629692817026,62.26629692817026,70.82,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1796,PNWAccelerometers,m3_to_m4_small_event,,3.46,full_record,0.0,150.01,12.38,12.38,117.73,54.0,46.83847007972005,105.35,0.0,15001.0,150.01,4944.43603515625,4944.43603515625,1.0,36855702.89133606,36855702.89133606,1.0,495.66955395887726,495.66955395887726,58.78,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
PNWAccelerometers:1798,PNWAccelerometers,m3_to_m4_small_event,,3.46,full_record,0.0,150.01,7.39,7.39,103.06,55.82,58.131486101472944,95.67,0.0,15001.0,150.01,1559.113525390625,1559.113525390625,1.0,6523713.74877827,6523713.74877827,1.0,208.53902693933497,208.53902693933497,61.88,True,False,,False,shortest_stable_no_catalog,full_record_fallback,full_record,3.0,1.0,False,True,False,full_record_required,2
